Customer_ID,transaction_frequency,average_transaction_amount,median_transaction_amount,largest_deposit,largest_withdrawal,average_balance,minimum_balance,maximum_balance,balance_variance,active_month_count,transaction_consistency,average_monthly_income,median_income,income_variance,income_consistency,average_monthly_expense,monthly_savings,monthly_transaction_count,cash_flow_stability,expense_stability,total_income,total_expense,essential_expense,discretionary_expense,atm_withdrawals,emi_payments,utility_payments,investment_amount,atm_ratio,emi_ratio,food_ratio,groceries_ratio,investment_ratio,others_ratio,salary_ratio,shopping_ratio,travel_ratio,utilities_ratio,expense_ratio,savings_ratio,essential_expense_ratio,discretionary_expense_ratio,atm_cash_ratio,financial_buffer,cash_reserve_ratio,Full_Name,Gender,DOB,Age,Education,Occupation,Employer,Employment_Type,Industry,Annual_Income,Monthly_Income,Bank,IFSC,Account_Number,Account_Type,City,District,State,PIN,Customer_Segment,Savings_Balance,Credit_Card_Holder,Account_Open_Date,Nominee_Relation,Device_Age_Years,OS,Rooted,SIM_Age_Years,Phone_Vintage_Years,Device_Fingerprint,PAN,Passport_Number,Driving_Licence,Voter_ID,KYC_Status,Face_Match_Score,OCR_Match_Score,Liveness_Score,Address_Match_Score,kyc_verified,total_loans,total_loan_amount,total_monthly_emi,avg_interest_rate,max_debt_to_income,avg_credit_score,max_fraud_score,approved_loan_count,has_default,has_npa,income_stability_index,net_disposable_income,dti_ratio,device_risk_index,biometric_identity_score,financial_discipline_score,business_score,business_grade
CUST_00000001,100,7277.831999999999,2164.015,142091.25,40971.46,25756.651400000002,2389.51,157459.89,1118474207.114202,12,0.2806547825705637,31277.405833333334,7703.39,2231512743.732681,0.40883491676605793,29371.194166666668,1906.2116666666661,8.333333333333334,0.03293692646554087,0.47560474254428586,375328.87,352454.33,174622.11,152781.89,25050.329999999998,0.0,105718.51,59550.490000000005,0.07107397432172276,0.0,0.07912690418642324,0.19549653426019764,0.15866216206603026,0.0,0.0,0.02501407771043698,0.16037953059053067,0.29994952821263393,0.9390546749041714,0.06094532509582861,0.4954460624728315,0.4334799632054457,0.07107397432172276,0.08135556172625259,0.8769357913690549,Daksh Bakshi,Male,1995-02-22,31,Master's,Financial risk analyst,Dewan Ltd,Self-Employed Professional,Automobile,245527.83,20460.65,HDFC Bank,HDFC0001409,403832645883,Savings,Chennai,Chennai,Tamil Nadu,600242,Mass Market,13387.6,0,2011-08-22,Sibling,4.9,Android 13,0,6.0,6.7,734f073b975e0a89e4f8d290ab2fd5d9,QAHFT6804A,C2501652,0.0,PVA8631930,VERIFIED,0.87,0.9,0.83,0.95,1,1.0,1490788.49,132378.05,11.89,6.4699,652.0,0.223,0.0,0.0,0.0,0.43554284707734914,-141288.59416666665,6.469884876580166,0.1,0.887,41.93727393403115,44.82,C
CUST_00000002,97,4211.238762886598,1203.71,94600.16,24279.1,14203.745979381445,530.95,95917.28,300262414.52910334,12,0.278225205343548,15969.355000000001,3503.075,777174500.823682,0.3743517205984733,18071.491666666665,-2102.1366666666668,8.083333333333334,0.062281305648185466,0.48823457071850107,191632.26,216857.9,88268.46,104201.91,24387.53,8508.44000000001,56178.93,13263.46,0.11245857310247863,0.039235093579712846,0.18078709606613363,0.1087398245579248,0.06921308552119564,0.0,0.0,0.1251537988701357,0.11340490708431651,0.25905872001896174,1.1316356651014812,-0.13163566510148134,0.4070336381565994,0.4805077887409221,0.11245857310247863,0.029380529830824707,0.7859752942022281,Chameli Sami,Female,1958-04-06,68,Bachelor's,Chief Financial Officer,Kaul PLC,Self-Employed Professional,Banking & Finance,587362.14,48946.85,IndusInd Bank,INDB0002424,566392613993,Savings,Mumbai,Mumbai City,Maharashtra,400195,Mass Market,62768.31,1,2019-08-19,Father,0.8,Android 14,0,6.1,0.9,64f64dc450b38b4a27f0c83aea3d5002,CWPUS5935U,0.0,0.0,QWP7022021,VERIFIED,0.97,0.91,0.85,0.79,1,1.0,139110.54,3192.32,13.38,0.0652,646.0,0.187,1.0,0.0,0.0,0.41990486064648447,27683.038333333334,0.06522013163257698,0.5555555555555556,0.8920000000000001,38.02172573134266,32.08,D
CUST_00000003,97,6848.790618556702,1599.48,113009.97,30069.16,20875.140412371136,975.22,114440.37,743776853.770008,12,0.29083687025670163,27646.728333333333,4082.2250000000004,2094746718.1582701,0.38685661188400433,27714.329166666666,-67.60083333333448,8.083333333333334,0.0021357069028480682,0.5449318283917893,331760.74,332571.95,161686.34,64504.590000000004,106381.02,0.0,67168.23999999999,16813.050000000003,0.3198736995107375,0.0,0.028823266664551844,0.28420346334078994,0.05067823878135792,0.0,0.0,0.0643645983974295,0.05021430700935543,0.20196604073193786,1.0024451657540914,-0.0024451657540913783,0.4861695040727277,0.19395679641653482,0.31987369951073746,0.035188295344811854,0.7532255349510193,Hardik Saini,Male,1968-01-24,58,Diploma,Theme park manager,Ahuja-Dutta,Salaried - Govt,Education,302316.24,25193.02,IndusInd Bank,INDB0001434,317158893990,Savings,Kolkata,Kolkata,West Bengal,700559,Mass Market,46665.26,1,2021-03-03,Daughter,5.7,Android 14,0,2.2,6.8,2fd51676fef4803666db06886b083fb3,HQJJF2966F,R7139656,MH3020230538553,UKB9572486,VERIFIED,0.94,0.9,0.87,0.83,1,1.0,3975447.69,40321.64,9.0,1.6005,646.0,0.182,0.0,0.0,0.0,0.45008669848711835,-42842.94916666666,1.6005083947855399,0.08620689655172414,0.8920000000000001,39.99779907074274,38.51,D
CUST_00000004,100,7401.3267000000005,1798.6599999999999,142479.02,29426.05,31056.467,1432.63,143911.65,1117881728.3800473,12,0.2808339459085461,30189.21416666666,6239.835,2394621462.9465904,0.39186805225453714,31488.50833333333,-1299.2941666666677,8.333333333333334,0.02170922521990799,0.5317243343081761,362270.57,377862.1,124327.73000000001,212989.5,40544.869999999995,0.0,68692.02,27367.61,0.10730070573365255,0.0,0.11434229577404031,0.14723813264151125,0.07554466817439794,0.0,0.0,0.16048336152262954,0.2164167562716663,0.1817912407727581,1.0430383566625354,-0.04303835666253545,0.3290293734142694,0.5636699208520781,0.10730070573365257,0.045496915409087076,0.9862793966370272,Onkar Mall,Male,1964-09-08,61,Bachelor's,Legal secretary,Chanda Group,Self-Employed Professional,Manufacturing,395978.46,32998.21,State Bank of India,SBIN0003615,566854953850,Savings,Surat,Surat,Gujarat,395259,Mass Market,45246.26,0,2011-07-20,Father,1.4,Android 14,0,4.4,2.5,986c3ccb96cbb180fd4a4ad90a910029,DDTOT4539E,0.0,0.0,NCB1674039,VERIFIED,0.93,0.89,0.92,0.79,1,2.0,2473223.58,220952.72,13.45,6.6959,634.0,0.219,0.0,0.0,0.0,0.4478105650759927,-219443.01833333334,6.695900171554761,0.3333333333333333,0.8880000000000001,40.955964120764314,41.62,C
CUST_00000005,91,16384.88274725275,2837.56,134236.26,250504.83,90228.89131868132,2000.26,1045839.07,44414921850.381676,12,0.29614266912906223,24992.493333333336,5824.155,2006340660.2787337,0.36820789661845893,99259.53416666666,-74267.04083333333,7.583333333333333,0.2515664676448362,0.3220980429856329,299909.92000000004,1191114.41,749610.44,345719.45,95784.51999999999,0.0,407642.33,26221.1,0.08041588548995894,0.0,0.193668028917558,0.2870992972035323,0.08742991895699881,0.0,0.0,0.006398864740457636,0.0681679184789646,0.34223608293010244,3.9715738979224153,-2.9715738979224158,0.6293353801336347,0.2902487343764064,0.08041588548995893,0.020151817322065644,0.9090198949269498,Orinder Lalla,Male,1998-07-21,28,High School,Pensioner,0.0,Retired,Government/Services,8543819.85,711984.99,Punjab National Bank,PUNB0002674,517010168081,Savings,Mysuru,Mysuru,Karnataka,570967,HNI,1039688.92,0,2021-09-03,Mother,0.5,Android 13,0,3.7,1.4,354321c5a9388be664b5d476c32c1f48,NZWAS6526D,J4498251,0.0,0.0,VERIFIED,0.89,0.89,0.93,0.85,1,0.0,0.0,0.0,0.0,0.0,650.0,0.1,0.0,0.0,0.0,0.3497639551653285,612725.4558333333,0.0,0.8333333333333334,0.8900000000000001,36.19631839451004,26.15,D
CUST_00000006,96,5838.632083333333,1695.615,86178.12,31635.76,19514.302812500002,597.45,91515.93,500646405.43649405,12,0.29823576166111887,24576.308333333334,8090.99,1302857493.3177607,0.41560828197413335,22132.748333333333,2443.5599999999995,8.0,0.06517739565181006,0.5354422917543958,294915.7,265592.98,74487.05,135453.9,55652.03,0.0,45365.28,44065.009999999995,0.2095387837434559,0.0,0.15959311123358758,0.10964811645247552,0.14941561266490727,0.0,0.0,0.09565388362297829,0.08884677599535953,0.17080752661459653,0.9005725364909362,0.09942746350906376,0.28045564306707205,0.5100055731894722,0.2095387837434559,0.026993936360817972,0.881693611593198,David Radhakrishnan,Male,1960-09-14,65,High School,Hospital doctor,"Pathak, Handa and Boase",Salaried - Private,Services,561914.57,46826.21,Kotak Mahindra Bank,KKBK0001711,605645347792,Salary,Mysuru,Mysuru,Karnataka,570180,Mass Market,20890.94,1,2010-09-25,Daughter,1.0,Android 12,0,6.0,1.8,7e2725b99ae6d32b598f6511f53291dd,XWHQP1757Q,A5413982,TN7320111437027,TVZ5169156,VERIFIED,0.89,0.96,0.87,0.87,1,1.0,913854.38,24362.49,12.66,0.5203,657.0,0.25,0.0,0.0,0.0,0.46354188588623835,330.97166666666453,0.5202746496032885,0.45454545454545453,0.903,43.30127458481614,49.25,C
CUST_00000007,95,31982.217473684213,5012.15,118706.48,492019.57,124903.0774736842,1715.96,1880928.21,93060599225.56825,12,0.28137024298520236,30480.255833333333,8099.040000000001,2272924335.170808,0.4004012176252446,222712.2991666667,-192232.04333333333,7.916666666666667,0.2484381163694243,0.28097086507320257,365763.07,2672547.59,1162859.04,1136896.67,372791.88,0.0,904815.6799999999,69161.07999999999,0.13948933272316397,0.0,0.042642174240945886,0.09655332648351456,0.18908710493927117,0.0,0.0,0.27729991143020205,0.07957768115927172,0.33855923965043405,7.306772632895934,-6.306772632895934,0.43511256613394866,0.4253981011428874,0.13948933272316397,0.007704828186052993,0.5608270308422123,Ishaan Mann,Male,2007-10-22,18,Bachelor's,"Exhibitions officer, museum/gallery",Rai LLC,Salaried - Private,Manufacturing,8291009.46,690917.45,IDFC FIRST Bank,IDFB0006925,312933106111,Salary,Bengaluru,Bengaluru Urban,Karnataka,560777,HNI,2372947.78,0,2017-04-03,Father,0.2,Android 13,0,9.5,1.6,8314ef17a9bb649d071a29a9b20e0508,ZYTRS3638O,0.0,KA3220131074177,0.0,VERIFIED,0.98,0.99,0.92,0.96,1,0.0,0.0,0.0,0.0,0.0,650.0,0.1,0.0,0.0,0.0,0.35262907660442777,468205.15083333326,0.0,1.6666666666666665,0.9670000000000001,40.150741063188825,39.01,D
CUST_00000008,98,6425.2036734693875,1564.605,133517.78,45921.99,20373.39081632653,624.57,138896.18,684095672.0503932,12,0.2770644471361158,25743.798333333336,5534.924999999999,1803137843.7808516,0.38772064498705144,26728.698333333334,-984.9000000000009,8.166666666666666,0.03581436677668794,0.5300893901978235,308925.58,320744.38,149735.03,145694.89,25314.46,0.0,62676.01000000001,38996.280000000006,0.0789240952561663,0.0,0.06712354554739197,0.2714280449746305,0.12623195528191614,0.0,0.0,0.0659358396240645,0.19959994310734297,0.1954079756596203,1.038257757742172,-0.03825775774217211,0.46683602063425084,0.4542398841095829,0.0789240952561663,0.023367018932646616,0.7622290678824002,Rajata Gaba,Female,1975-11-06,50,High School,"Engineer, manufacturing systems","Loke, Bora and Garg",Salaried - Private,Manufacturing,316638.74,26386.56,HDFC Bank,HDFC0004814,211095701426,Savings,Howrah,Howrah,West Bengal,711564,Mass Market,30373.44,0,2018-07-18,Sibling,0.3,Android 11,0,6.9,2.5,bf682e8a0cbce46cfaf9d6413ad8aabd,IPFFB6298C,Q2621954,UP5320131582525,CLL4769043,VERIFIED,0.9,0.91,0.95,0.83,1,3.0,4941967.71,228300.8,11.856666666666667,8.6522,604.0,0.29,0.0,0.0,0.0,0.44466814307136027,-228642.93833333332,8.652162312935069,1.25,0.8990000000000001,39.19116104688186,35.89,D
CUST_00000009,100,4678.8097,1924.81,100886.75,26151.92,16221.1627,422.74,103977.35,338300613.0169128,12,0.28893992442540517,20078.968333333334,6813.475,980328967.4425426,0.4011403993674517,18911.1125,1167.8558333333328,8.333333333333334,0.03791115421246595,0.5628368222289134,240947.62,226933.35,14740.56,194346.79,17846.0,0.0,5849.540000000001,58149.34999999999,0.07863982971211592,0.0,0.14501248934984654,0.03917899242222441,0.24133606299991672,0.0,0.0,0.24972429129521947,0.20542815765069347,0.025776466967063236,0.9418368606421595,0.05816313935784049,0.06495545938928764,0.8564047108985965,0.07863982971211592,0.0223540524123052,0.8577582466393768,Jason Gade,Male,1980-08-18,45,Diploma,Geophysicist/field seismologist,"Kanda, Nair and Bhalla",Salaried - Govt,Retail & E-commerce,516922.73,43076.89,ICICI Bank,ICIC0007065,329159142739,Current,Hyderabad,Hyderabad,Telangana,500723,Mass Market,7442.2,0,2013-08-31,Sibling,0.2,Android 14,0,9.1,3.7,4e1fa00efdd97db560adfdb000e1220d,WGELK2294R,D0989981,UP6220136728340,XEA3972677,VERIFIED,0.86,1.0,0.94,0.8,1,1.0,1565413.66,137479.16,9.8,3.1915,611.0,0.32,0.0,0.0,0.0,0.4658189685120364,-113313.38249999999,3.19148295060298,1.6666666666666665,0.906,40.36721469250117,39.71,D
CUST_00000010,95,9416.196842105262,2494.6,126471.22,120929.15,42402.83378947368,241.4,351243.83,4101668314.3925543,12,0.3150356888370562,23397.040833333333,3972.625,1696377290.472663,0.3723923650248049,51147.85083333333,-27750.809999999998,7.916666666666667,0.27986617725467655,0.46680305748432943,280764.49,613774.21,124371.32,390422.66,98980.23000000001,0.0,76546.58,210813.09000000003,0.16126488924974547,0.0,0.1658693512065292,0.07791910969996606,0.7508538205810857,0.0,0.0,0.07199236996288912,0.05476961959675693,0.12471455912101619,2.1860820433524197,-1.1860820433524195,0.20263366882098224,0.6361014419292723,0.16126488924974547,0.004719650895725971,0.8290247409934091,Amol Mutti,Male,1977-06-16,49,High School,Brewing technologist,Murty and Sons,Self-Employed Business,Healthcare,1912212.9,159351.07,IndusInd Bank,INDB0005010,607507949295,Savings,Howrah,Howrah,West Bengal,711755,Affluent,358508.14,1,2020-06-26,Sibling,1.3,Android 12,0,5.5,2.5,1a265ba631e3540e8f1c67694627af8b,RMEFB7030P,Q9505800,0.0,WKY5500653,VERIFIED,0.96,0.89,0.88,0.78,1,0.0,0.0,0.0,0.0,0.0,650.0,0.1,0.0,0.0,0.0,0.4101566420086147,108203.21916666668,0.0,0.3571428571428571,0.887,38.828124691715644,34.7,D
